delay,condition,textbox.text,,,,0.1,0.4,0.7,average
0.7,exp,800,,,,,,,
0.7,exp,688,,,,,,,
0.7,exp,245,,,,,,,
0.7,exp,560,,,,,,,
0.7,exp,400,,,,,,,
0.7,exp,568,,,,,,,
0.7,exp,480,,,,,,,
0.7,exp,450,,,,,,,
0.7,exp,500,,,,,,,
0.7,exp,780,,,,,,,
0.7,exp,600,,,,,,,
0.7,exp,890,,,,,,,
0.7,exp,980,,,,,,,
0.7,exp,450,,,,,,,
0.7,exp,234,,,,,,,
0.7,exp,679,,,,,,,
0.7,exp,992,,,,,,,
0.7,exp,594,,,,,,,
0.7,exp,586,,,,,,,
0.7,exp,800,,,,,,,
0.7,exp,478,,,,,,,
0.7,exp,300,,,,,,,
0.7,exp,670,,,,,,,
0.7,exp,780,,,,,,,
0.7,exp,800,,,,,,,
0.7,exp,670,,,,,,,
0.7,exp,323,,,,,,,
0.7,exp,569,,,,,,,
0.7,exp,50,,,,,,,
0.7,exp,210,,,,,,,
0.7,exp,430,,,,,,,
0.7,exp,503,,,,,,,
0.7,exp,459,,,,,,,
0.7,exp,432,,,,,,,
0.7,exp,420,,,,,,,
0.7,exp,965,,,,,,,
0.7,exp,995,,,,,,,
0.7,exp,600,,,,,,,
0.7,exp,120,,,,,,,
0.7,exp,900,,,,,,,
0.7,exp,290,,,,,,,
0.7,exp,500,,,,,,,
0.7,unexp,256,,,,,,,
0.7,unexp,780,,,,,,,
0.7,unexp,349,,,,,,,
0.7,unexp,123,,,,,,,
0.7,unexp,211,,,,,,,
0.7,unexp,284,,,,,,,
0.7,unexp,231,,,,,,,
0.7,unexp,123,,,,,,,
0.7,unexp,231,,,,,,,
0.7,unexp,372,,,,,,,
0.7,unexp,265,,,,,,,
0.7,unexp,284,,,,,,,
0.7,unexp,457,,,,,,,
0.7,unexp,564,,,,,,,
0.7,unexp,900,,,,,,,
0.7,unexp,677,,,,,,,
0.7,unexp,234,,,,,,,
0.7,unexp,700,,,,,,,
0.7,unexp,670,,,,,,,
0.7,unexp,695,,,,,,,
0.7,unexp,210,,,,,,,
0.7,unexp,569,,,,,,,
0.7,unexp,400,,,,,,,
0.7,unexp,584,,,,,,,
0.7,unexp,540,,,,,,,
